danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,id,names
0.862,0.479,-9.199,0.0645,0.0523,0.00126,0.589,0.924,109.877,301520,7,3QHONiXGMGU3z68mQInncF,"I'll Be Missing You (feat. Faith Evans, 112)"
0.542,0.905,-5.653,0.054,0.00172,0.0104,0.136,0.374,153.398,203347,4,0ntQJM78wzOLVeCUAW7Y45,Sex on Fire
0.534,0.875,-5.637,0.0407,0.214,0.000184,0.0516,0.727,168.95,356023,4,1dm00I58PW9kfpQ7su2opJ,Wild Horses - Rerecorded
0.761,0.67,-12.759,0.0438,0.21,0.000426,0.0685,0.91,120.752,215173,2,5jSz894ljfWE0IcHBSM39i,Raspberry Beret
0.515,0.426,-9.267,0.0278,0.0482,0.737,0.121,0.195,129.3,198467,6,0Wl42CUb1phIU9O2aR1wXI,Disarm
0.786,0.803,-6.59,0.205,0.0294,0.0,0.224,0.949,173.029,229000,4,1nXTM2CVdaoCySSD5kgt3J,Sweat (A La La La La Long)
0.749,0.614,-10.594,0.0264,0.0372,0.00286,0.0603,0.878,103.868,208173,2,2nmaEzFZrSm2aMLtfJDzyG,Werewolves of London
0.598,0.901,-6.081,0.0359,0.116,0.0401,0.178,0.814,153.24,231120,4,4cMHCRLPNoEbpnl2rz6GS9,Back on the Chain Gang - 2007 Remaster
0.529,0.843,-6.908,0.0616,0.0628,0.000827,0.0608,0.188,117.662,310333,0,3MrRksHupTVEQ7YbA0FsZK,The Final Countdown
0.423,0.681,-9.756,0.0398,0.0592,0.000177,0.0889,0.56,110.461,160307,0,7AzFID6u1b3zIWbd9pb8Dk,Summer in the City - Remastered
0.653,0.603,-6.017,0.0278,0.0292,0.0,0.097,0.101,118.016,184400,0,6ucR4KfvsBFWCMVFDvyKKl,Apologize
0.611,0.853,-4.983,0.034,0.0219,0.0,0.671,0.376,135.558,243280,7,5ZY7Gug850kv4heJcWZGHM,Just Like Paradise
0.349,0.348,-6.142,0.0316,0.726,0.0,0.12,0.0886,74.541,246587,5,0HZhYMZOcUzZKSFwPOti6m,jar of hearts
0.696,0.875,-3.682,0.0649,0.134,0.0,0.159,0.772,127.39,222733,2,6zKMARmU2Ue50cucKnIUR6,Forget You
0.52,0.652,-6.655,0.0274,0.339,6.14e-05,0.256,0.722,80.61,258787,0,6kvoHl80mfCVTv7XnZkjQn,"It Must Have Been Love - From the Film ""Pretty Woman"""
0.496,0.739,-7.193,0.0416,0.0209,0.00451,0.106,0.377,132.411,336000,0,4JiEyzf0Md7KEFFGWDDdCr,Knockin' On Heaven's Door
0.445,0.949,-4.682,0.0471,0.395,8.18e-06,0.0902,0.653,147.604,168960,4,3Dy4REq8O09IlgiwuHQ3sk,Waterloo
0.526,0.328,-9.864,0.0461,0.694,0.0,0.112,0.11,116.068,526387,5,0SuG9kyzGRpDqrCWtgD6Lq,Give Me Love
0.556,0.913,-2.36,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,282160,7,10Nmj3JCNoMeBQ87uw5j8k,Dani California
